scenario,timestep,cka_score,cka_drop
S1_targeted,0,0.8614,0.0006
S1_targeted,2,0.8604,0.0016
S1_targeted,4,0.8604,0.0016
S1_targeted,6,0.8592,0.0028
S1_targeted,8,0.8575,0.0046
S1_targeted,10,0.8548,0.0072
S2_coordinated,0,0.8614,0.0006
S2_coordinated,2,0.8584,0.0036
S2_coordinated,4,0.8556,0.0064
S2_coordinated,6,0.85,0.0121
S2_coordinated,8,0.8443,0.0177
S2_coordinated,10,0.842,0.0201
S3_cascading,0,0.8614,0.0006
S3_cascading,2,0.8603,0.0018
S3_cascading,4,0.859,0.003
S3_cascading,6,0.8572,0.0048
S3_cascading,8,0.8555,0.0066
S3_cascading,10,0.8524,0.0096
