scenario,timestep,cka_score,cka_drop
S1_targeted,0,0.9873,0.0065
S1_targeted,2,0.971,0.0229
S1_targeted,4,0.8911,0.1028
S1_targeted,6,0.8631,0.1307
S1_targeted,8,0.8561,0.1377
S1_targeted,10,0.8506,0.1433
S2_coordinated,0,0.984,0.0098
S2_coordinated,2,0.9597,0.0342
S2_coordinated,4,0.8473,0.1466
S2_coordinated,6,0.8061,0.1877
S2_coordinated,8,0.7949,0.1989
S2_coordinated,10,0.7869,0.207
S3_cascading,0,0.9789,0.015
S3_cascading,2,0.9431,0.0508
S3_cascading,4,0.7893,0.2046
S3_cascading,6,0.7331,0.2608
S3_cascading,8,0.7143,0.2795
S3_cascading,10,0.7018,0.292
