seed,scenario,timestep,cka_drop,l2_drop,PAK_B1,PAK_B2,PAK_B3_L2,PAK_KARAT,PAK_B4_ORC
42,S1_targeted,0,0.0,0.0,0.3267,0.9387,0.9387,0.9387,0.9973
42,S1_targeted,2,0.0075,0.00167,0.3267,0.9293,0.9827,0.9333,0.996
42,S1_targeted,4,0.019,0.00337,0.3267,0.9133,0.9933,0.9333,0.9947
42,S1_targeted,6,0.0392,0.005279,0.3267,0.868,0.9853,0.9227,0.992
42,S1_targeted,8,0.0672,0.004458,0.3267,0.812,0.964,0.8987,0.9747
42,S1_targeted,10,0.0909,-0.000667,0.3267,0.6907,0.6907,0.836,0.9133
42,S2_coordinated,0,0.0,0.0,0.3267,0.9387,0.9387,0.9387,0.9973
42,S2_coordinated,2,0.0011,-7.5e-05,0.3267,0.932,0.932,0.932,0.9947
42,S2_coordinated,4,0.002,-0.002547,0.3267,0.928,0.928,0.928,0.9933
42,S2_coordinated,6,0.0064,-0.00901,0.3267,0.8973,0.8973,0.9027,0.9907
42,S2_coordinated,8,0.0131,-0.018234,0.3267,0.9,0.9,0.9067,0.9813
42,S2_coordinated,10,0.0349,-0.032059,0.3267,0.8347,0.8347,0.8533,0.94
42,S3_cascading,0,0.0,0.0,0.3267,0.9387,0.9387,0.9387,0.9973
42,S3_cascading,2,0.0022,-0.000722,0.3267,0.9307,0.9307,0.9307,0.996
42,S3_cascading,4,0.004,-0.002445,0.3267,0.9253,0.9253,0.9293,0.9947
42,S3_cascading,6,0.0083,-0.005217,0.3267,0.9067,0.9067,0.9173,0.9907
42,S3_cascading,8,0.0066,-0.011531,0.3267,0.8933,0.8933,0.8987,0.9867
42,S3_cascading,10,0.0057,-0.018899,0.3267,0.884,0.884,0.8893,0.98
7,S1_targeted,0,0.0,0.0,0.2893,0.9387,0.9387,0.9387,0.9973
7,S1_targeted,2,0.0045,0.000709,0.2893,0.9307,0.9307,0.9347,0.996
7,S1_targeted,4,0.0195,0.003687,0.2893,0.912,0.9933,0.9333,0.9947
7,S1_targeted,6,0.0353,0.004202,0.2893,0.868,0.9853,0.9187,0.992
7,S1_targeted,8,0.0632,0.003378,0.2893,0.808,0.96,0.892,0.972
7,S1_targeted,10,0.0911,-0.0001,0.2893,0.6827,0.6827,0.816,0.9
7,S2_coordinated,0,0.0,0.0,0.2893,0.9387,0.9387,0.9387,0.9973
7,S2_coordinated,2,-0.0009,-0.001368,0.2893,0.9293,0.9293,0.9293,0.996
7,S2_coordinated,4,0.0032,-0.003425,0.2893,0.9267,0.9267,0.9267,0.9947
7,S2_coordinated,6,0.0077,-0.008079,0.2893,0.9147,0.9147,0.92,0.992
7,S2_coordinated,8,0.0121,-0.020006,0.2893,0.9093,0.9093,0.9173,0.9813
7,S2_coordinated,10,0.0269,-0.03426,0.2893,0.8587,0.8587,0.8747,0.9493
7,S3_cascading,0,0.0,0.0,0.2893,0.9387,0.9387,0.9387,0.9973
7,S3_cascading,2,0.0016,-0.00056,0.2893,0.9307,0.9307,0.9307,0.996
7,S3_cascading,4,0.0055,-0.002412,0.2893,0.924,0.924,0.9267,0.9947
7,S3_cascading,6,0.0083,-0.005447,0.2893,0.9053,0.9053,0.9173,0.9867
7,S3_cascading,8,0.0109,-0.009837,0.2893,0.8853,0.8853,0.8933,0.9813
7,S3_cascading,10,0.0042,-0.01922,0.2893,0.8853,0.8853,0.888,0.9747
13,S1_targeted,0,0.0,0.0,0.2827,0.9387,0.9387,0.9387,0.9973
13,S1_targeted,2,0.0054,0.000888,0.2827,0.9307,0.9307,0.9347,0.996
13,S1_targeted,4,0.0192,0.003365,0.2827,0.9133,0.9933,0.9333,0.9947
13,S1_targeted,6,0.0371,0.004422,0.2827,0.864,0.984,0.916,0.992
13,S1_targeted,8,0.0638,0.004569,0.2827,0.8093,0.9613,0.8893,0.9733
