scenario,timestep,cka_drop,PAK_B2,PAK_B3_L2,PAK_KARAT,PAK_Oracle,gain_vs_b2,triggered
S1_targeted,0,0.0,0.9067,0.9067,0.9067,1.0,0.0,·
S1_targeted,2,0.0461,0.9467,0.9467,0.9467,1.0,0.0,·
S1_targeted,4,0.0873,0.9156,0.9156,0.9156,1.0,0.0,▲
S1_targeted,6,0.1526,0.8844,0.9956,0.9956,1.0,0.1111,▲
S1_targeted,8,0.1875,0.9644,0.9867,0.9956,1.0,0.0311,▲
S1_targeted,10,0.1907,0.96,0.9956,0.9956,1.0,0.0356,▲
S2_coordinated,0,0.0,0.9067,0.9067,0.9067,1.0,0.0,·
S2_coordinated,2,0.08,0.7422,0.7422,0.7422,1.0,0.0,·
S2_coordinated,4,0.1785,0.4311,0.9467,0.9956,1.0,0.5644,▲
S2_coordinated,6,0.2921,0.6356,0.9911,1.0,1.0,0.3644,▲
S2_coordinated,8,0.3719,0.7867,1.0,1.0,1.0,0.2133,▲
S2_coordinated,10,0.4165,0.6044,0.9956,0.9956,1.0,0.3911,▲
S3_cascading,0,0.0,0.9067,0.9067,0.9067,1.0,0.0,·
S3_cascading,2,0.1217,0.6222,0.9778,0.9956,1.0,0.3733,▲
S3_cascading,4,0.1626,0.3422,0.9289,0.9956,1.0,0.6533,▲
S3_cascading,6,0.1988,0.2356,0.96,1.0,1.0,0.7644,▲
S3_cascading,8,0.2365,0.2489,0.9956,1.0,1.0,0.7511,▲
S3_cascading,10,0.2521,0.3022,0.9778,1.0,1.0,0.6978,▲
