scenario,timestep,PAK_KARAT_CKA,PAK_B3_L2,delta,cka_drop,cka_triggered
S1_targeted,0,0.9387,0.9387,0.0,0.0,0
S1_targeted,2,0.9333,0.9827,-0.0493,0.0075,1
S1_targeted,4,0.9333,0.9933,-0.06,0.019,1
S1_targeted,6,0.9227,0.9853,-0.0627,0.0392,1
S1_targeted,8,0.8987,0.964,-0.0653,0.0672,1
S1_targeted,10,0.836,0.6907,0.1453,0.0909,1
S2_coordinated,0,0.9387,0.9387,0.0,0.0,0
S2_coordinated,2,0.932,0.932,0.0,0.0011,0
S2_coordinated,4,0.928,0.928,0.0,0.002,0
S2_coordinated,6,0.9027,0.8973,0.0053,0.0064,1
S2_coordinated,8,0.9067,0.9,0.0067,0.0131,1
S2_coordinated,10,0.8533,0.8347,0.0187,0.0349,1
S3_cascading,0,0.9387,0.9387,0.0,0.0,0
S3_cascading,2,0.9307,0.9307,0.0,0.0022,0
S3_cascading,4,0.9293,0.9253,0.004,0.004,1
S3_cascading,6,0.9173,0.9067,0.0107,0.0083,1
S3_cascading,8,0.8987,0.8933,0.0053,0.0066,1
S3_cascading,10,0.8893,0.884,0.0053,0.0057,1
